,Data,Tipo,Valore
0,2020/03/01,retail_and_recreation,-33.0
1,2020/03/01,grocery_and_pharmacy,-9.0
2,2020/03/01,parks,-38.0
3,2020/03/01,transit_stations,-40.0
4,2020/03/01,workplaces,-14.0
5,2020/03/01,residential,7.0
6,2020/03/02,retail_and_recreation,-26.0
7,2020/03/02,grocery_and_pharmacy,-18.0
8,2020/03/02,parks,-53.0
9,2020/03/02,transit_stations,-44.0
10,2020/03/02,workplaces,-20.0
11,2020/03/02,residential,11.0
12,2020/03/03,retail_and_recreation,-13.0
13,2020/03/03,grocery_and_pharmacy,-1.0
14,2020/03/03,parks,16.0
15,2020/03/03,transit_stations,-35.0
16,2020/03/03,workplaces,-19.0
17,2020/03/03,residential,9.0
18,2020/03/04,retail_and_recreation,-14.0
19,2020/03/04,grocery_and_pharmacy,-1.0
20,2020/03/04,parks,46.0
21,2020/03/04,transit_stations,-34.0
22,2020/03/04,workplaces,-19.0
23,2020/03/04,residential,8.0
24,2020/03/05,retail_and_recreation,-22.0
25,2020/03/05,grocery_and_pharmacy,-6.0
26,2020/03/05,parks,-31.0
27,2020/03/05,transit_stations,-42.0
28,2020/03/05,workplaces,-21.0
29,2020/03/05,residential,11.0
30,2020/03/06,retail_and_recreation,-20.0
31,2020/03/06,grocery_and_pharmacy,-2.0
32,2020/03/06,parks,1.0
33,2020/03/06,transit_stations,-40.0
34,2020/03/06,workplaces,-22.0
35,2020/03/06,residential,11.0
36,2020/03/07,retail_and_recreation,-25.0
37,2020/03/07,grocery_and_pharmacy,-1.0
38,2020/03/07,parks,54.0
39,2020/03/07,transit_stations,-31.0
40,2020/03/07,workplaces,-19.0
41,2020/03/07,residential,7.0
42,2020/03/08,retail_and_recreation,-48.0
43,2020/03/08,grocery_and_pharmacy,-1.0
44,2020/03/08,parks,16.0
45,2020/03/08,transit_stations,-42.0
46,2020/03/08,workplaces,-19.0
47,2020/03/08,residential,8.0
48,2020/03/09,retail_and_recreation,-42.0
49,2020/03/09,grocery_and_pharmacy,-9.0
50,2020/03/09,parks,-35.0
51,2020/03/09,transit_stations,-57.0
52,2020/03/09,workplaces,-31.0
53,2020/03/09,residential,16.0
54,2020/03/10,retail_and_recreation,-50.0
55,2020/03/10,grocery_and_pharmacy,-8.0
56,2020/03/10,parks,-25.0
57,2020/03/10,transit_stations,-61.0
58,2020/03/10,workplaces,-38.0
59,2020/03/10,residential,20.0
60,2020/03/11,retail_and_recreation,-57.0
61,2020/03/11,grocery_and_pharmacy,-13.0
62,2020/03/11,parks,-23.0
63,2020/03/11,transit_stations,-65.0
64,2020/03/11,workplaces,-43.0
65,2020/03/11,residential,22.0
66,2020/03/12,retail_and_recreation,-74.0
67,2020/03/12,grocery_and_pharmacy,-26.0
68,2020/03/12,parks,-62.0
69,2020/03/12,transit_stations,-74.0
70,2020/03/12,workplaces,-52.0
71,2020/03/12,residential,28.0
72,2020/03/13,retail_and_recreation,-78.0
73,2020/03/13,grocery_and_pharmacy,-27.0
74,2020/03/13,parks,-57.0
75,2020/03/13,transit_stations,-76.0
76,2020/03/13,workplaces,-58.0
77,2020/03/13,residential,31.0
78,2020/03/14,retail_and_recreation,-86.0
79,2020/03/14,grocery_and_pharmacy,-46.0
80,2020/03/14,parks,-80.0
81,2020/03/14,transit_stations,-80.0
82,2020/03/14,workplaces,-63.0
83,2020/03/14,residential,26.0
84,2020/03/15,retail_and_recreation,-91.0
85,2020/03/15,grocery_and_pharmacy,-58.0
86,2020/03/15,parks,-78.0
87,2020/03/15,transit_stations,-83.0
88,2020/03/15,workplaces,-57.0
89,2020/03/15,residential,22.0
90,2020/03/16,retail_and_recreation,-78.0
91,2020/03/16,grocery_and_pharmacy,-35.0
92,2020/03/16,parks,-62.0
93,2020/03/16,transit_stations,-79.0
94,2020/03/16,workplaces,-63.0
95,2020/03/16,residential,30.0
96,2020/03/17,retail_and_recreation,-80.0
97,2020/03/17,grocery_and_pharmacy,-39.0
98,2020/03/17,parks,-59.0
99,2020/03/17,transit_stations,-80.0
100,2020/03/17,workplaces,-65.0
101,2020/03/17,residential,32.0
102,2020/03/18,retail_and_recreation,-82.0
103,2020/03/18,grocery_and_pharmacy,-42.0
104,2020/03/18,parks,-67.0
105,2020/03/18,transit_stations,-81.0
106,2020/03/18,workplaces,-66.0
107,2020/03/18,residential,33.0
108,2020/03/19,retail_and_recreation,-82.0
109,2020/03/19,grocery_and_pharmacy,-43.0
110,2020/03/19,parks,-72.0
111,2020/03/19,transit_stations,-82.0
112,2020/03/19,workplaces,-67.0
113,2020/03/19,residential,34.0
114,2020/03/20,retail_and_recreation,-82.0
115,2020/03/20,grocery_and_pharmacy,-40.0
116,2020/03/20,parks,-76.0
117,2020/03/20,transit_stations,-82.0
118,2020/03/20,workplaces,-68.0
119,2020/03/20,residential,36.0
120,2020/03/21,retail_and_recreation,-88.0
121,2020/03/21,grocery_and_pharmacy,-55.0
122,2020/03/21,parks,-84.0
123,2020/03/21,transit_stations,-83.0
124,2020/03/21,workplaces,-67.0
125,2020/03/21,residential,27.0
126,2020/03/22,retail_and_recreation,-95.0
127,2020/03/22,grocery_and_pharmacy,-80.0
128,2020/03/22,parks,-92.0
129,2020/03/22,transit_stations,-89.0
130,2020/03/22,workplaces,-65.0
131,2020/03/22,residential,24.0
132,2020/03/23,retail_and_recreation,-84.0
133,2020/03/23,grocery_and_pharmacy,-47.0
134,2020/03/23,parks,-82.0
135,2020/03/23,transit_stations,-86.0
136,2020/03/23,workplaces,-74.0
137,2020/03/23,residential,35.0
138,2020/03/24,retail_and_recreation,-84.0
139,2020/03/24,grocery_and_pharmacy,-48.0
140,2020/03/24,parks,-78.0
141,2020/03/24,transit_stations,-85.0
142,2020/03/24,workplaces,-74.0
143,2020/03/24,residential,36.0
144,2020/03/25,retail_and_recreation,-86.0
145,2020/03/25,grocery_and_pharmacy,-50.0
146,2020/03/25,parks,-82.0
147,2020/03/25,transit_stations,-86.0
148,2020/03/25,workplaces,-75.0
149,2020/03/25,residential,37.0
150,2020/03/26,retail_and_recreation,-86.0
151,2020/03/26,grocery_and_pharmacy,-51.0
152,2020/03/26,parks,-83.0
153,2020/03/26,transit_stations,-86.0
154,2020/03/26,workplaces,-77.0
155,2020/03/26,residential,39.0
156,2020/03/27,retail_and_recreation,-86.0
157,2020/03/27,grocery_and_pharmacy,-47.0
158,2020/03/27,parks,-82.0
159,2020/03/27,transit_stations,-86.0
160,2020/03/27,workplaces,-77.0
161,2020/03/27,residential,40.0
162,2020/03/28,retail_and_recreation,-89.0
163,2020/03/28,grocery_and_pharmacy,-59.0
164,2020/03/28,parks,-85.0
165,2020/03/28,transit_stations,-85.0
166,2020/03/28,workplaces,-70.0
167,2020/03/28,residential,28.0
168,2020/03/29,retail_and_recreation,-95.0
169,2020/03/29,grocery_and_pharmacy,-81.0
170,2020/03/29,parks,-91.0
171,2020/03/29,transit_stations,-89.0
172,2020/03/29,workplaces,-65.0
173,2020/03/29,residential,24.0
174,2020/03/30,retail_and_recreation,-85.0
175,2020/03/30,grocery_and_pharmacy,-48.0
176,2020/03/30,parks,-82.0
177,2020/03/30,transit_stations,-85.0
178,2020/03/30,workplaces,-75.0
179,2020/03/30,residential,36.0
180,2020/03/31,retail_and_recreation,-92.0
181,2020/03/31,grocery_and_pharmacy,-42.0
182,2020/03/31,parks,-78.0
183,2020/03/31,transit_stations,-84.0
184,2020/03/31,workplaces,-76.0
185,2020/03/31,residential,37.0
186,2020/04/01,retail_and_recreation,-92.0
187,2020/04/01,grocery_and_pharmacy,-40.0
188,2020/04/01,parks,-78.0
189,2020/04/01,transit_stations,-84.0
190,2020/04/01,workplaces,-75.0
